,id,time (delta),RSSI (dBm)
17012,0,7:,-77
17013,0,7:,-77
17014,0,7:,-77
17021,0,7:,-77
17022,0,7:,-77
17023,0,7:,-77
17030,0,7:,-77
17031,0,7:,-77
17032,0,7:,-77
17039,0,7:,-77
17040,0,7:,-77
17041,0,7:,-77
17048,0,7:,-77
17049,0,7:,-77
17050,0,7:,-77
17057,0,7:,-77
17058,0,7:,-77
17059,0,7:,-77
17066,0,7:,-77
17067,0,7:,-77
17068,0,7:,-77
17075,0,7:,-77
17076,0,7:,-77
17077,0,7:,-77
17084,0,8:,-77
17085,0,8:,-77
17086,0,8:,-77
17093,0,8:,-77
17094,0,8:,-77
17095,0,8:,-77
17102,0,8:,-77
17103,0,8:,-77
17104,0,8:,-77
17111,0,8:,-77
17112,0,8:,-77
17113,0,8:,-77
17120,0,8:,-77
17121,0,8:,-77
17122,0,8:,-77
